fecha,p (mbar),T (degC),Tdew (degC),rh (%),wd (deg)
2014-01-03 03:00:00,984.7,4.99,2.57,84.3,220.4
2014-01-03 04:00:00,984.26,5.13,2.95,85.8,187.1
2014-01-03 05:00:00,984.14,4.76,2.92,87.8,195.0
2014-01-03 06:00:00,984.09,4.08,2.37,88.6,184.6
2014-01-03 07:00:00,983.85,3.21,1.96,91.5,189.6
2014-01-03 08:00:00,984.09,5.02,2.57,84.1,209.0
2014-01-03 09:00:00,984.02,4.02,2.19,87.8,193.0
2014-01-03 10:00:00,983.96,4.44,2.23,85.5,172.8
2014-01-03 11:00:00,983.51,5.69,2.66,80.8,180.6
2014-01-03 12:00:00,982.92,6.73,3.09,77.5,193.2
2014-01-03 13:00:00,982.3,7.98,3.1,71.2,167.0
2014-01-03 14:00:00,982.21,7.79,2.84,70.8,175.8
2014-01-03 15:00:00,982.54,8.21,2.93,69.24,204.2
2014-01-03 16:00:00,982.74,8.61,4.44,75.0,206.1
2014-01-03 17:00:00,982.61,8.51,4.48,75.7,194.2
2014-01-03 18:00:00,982.72,7.16,4.06,80.6,173.6
2014-01-03 19:00:00,982.56,7.53,4.39,80.4,206.4
2014-01-03 20:00:00,982.67,8.34,4.98,79.3,193.8
2014-01-03 21:00:00,983.3,8.36,5.0,79.3,192.1
2014-01-03 22:00:00,983.39,8.21,4.81,79.1,186.8
2014-01-03 23:00:00,982.99,9.92,5.54,74.1,201.9
2014-01-04 00:00:00,983.77,9.86,5.12,72.3,199.7
2014-01-04 01:00:00,985.19,9.28,4.11,70.0,246.4
2014-01-04 02:00:00,985.93,6.76,3.69,80.7,219.4
2014-01-04 03:00:00,985.92,8.29,3.92,73.9,213.9
2014-01-04 04:00:00,986.34,7.62,3.14,73.2,212.6
2014-01-04 05:00:00,986.66,7.62,2.58,70.3,208.8
2014-01-04 06:00:00,986.09,7.17,2.42,71.7,217.5
2014-01-04 07:00:00,986.08,6.18,2.61,77.8,175.7
2014-01-04 08:00:00,986.19,5.98,2.81,80.0,195.6
2014-01-04 09:00:00,986.28,5.38,2.63,82.4,199.5
2014-01-04 10:00:00,985.58,6.14,2.86,79.4,200.9
2014-01-04 11:00:00,984.36,6.26,2.94,79.2,181.6
2014-01-04 12:00:00,982.91,6.79,2.82,75.7,158.6
2014-01-04 13:00:00,981.32,6.95,2.88,75.2,142.3
2014-01-04 14:00:00,979.55,7.71,2.78,70.9,145.9
2014-01-04 15:00:00,978.19,8.21,1.62,63.06,63.58
2014-01-04 16:00:00,977.06,7.51,1.32,64.72,166.7
2014-01-04 17:00:00,975.68,6.39,1.27,69.67,306.4
2014-01-04 18:00:00,974.76,5.54,1.14,73.2,52.05
2014-01-04 19:00:00,973.95,5.64,1.39,74.0,151.5
2014-01-04 20:00:00,973.74,5.65,1.68,75.5,169.4
2014-01-04 21:00:00,973.16,7.47,4.02,78.7,187.3
2014-01-04 22:00:00,973.64,7.0,3.92,80.7,165.3
2014-01-04 23:00:00,973.19,6.78,3.98,82.3,158.3
2014-01-05 00:00:00,973.35,6.4,3.84,83.6,183.1
2014-01-05 01:00:00,973.16,6.62,3.91,82.8,207.2
2014-01-05 02:00:00,973.41,7.29,4.41,81.9,193.8
2014-01-05 03:00:00,973.95,7.08,4.45,83.3,88.9
2014-01-05 04:00:00,973.75,6.6,4.27,85.0,74.8
2014-01-05 05:00:00,973.65,6.45,4.24,85.7,96.1
2014-01-05 06:00:00,974.25,5.72,3.99,88.6,216.3
2014-01-05 07:00:00,975.5,4.44,3.23,91.8,151.0
2014-01-05 08:00:00,976.53,6.5,4.44,86.6,199.5
2014-01-05 09:00:00,977.68,7.08,4.5,83.6,202.9
2014-01-05 10:00:00,978.81,7.68,4.44,79.9,259.0
2014-01-05 11:00:00,979.52,7.59,4.27,79.4,244.2
2014-01-05 12:00:00,980.53,7.51,4.19,79.4,229.2
2014-01-05 13:00:00,981.3,7.13,3.58,78.1,252.6
2014-01-05 14:00:00,982.28,7.05,3.31,77.0,245.6
2014-01-05 15:00:00,983.6,6.92,3.01,76.1,274.4
2014-01-05 16:00:00,984.99,6.42,2.93,78.3,220.7
2014-01-05 17:00:00,985.83,5.86,2.35,78.1,220.8
2014-01-05 18:00:00,986.31,4.78,1.27,77.9,222.5
2014-01-05 19:00:00,986.75,3.87,0.68,79.6,229.8
2014-01-05 20:00:00,986.91,3.0,0.34,82.6,203.6
2014-01-05 21:00:00,986.98,2.2,0.19,86.5,223.9
2014-01-05 22:00:00,987.28,3.02,0.33,82.4,228.5
2014-01-05 23:00:00,987.45,2.09,-0.16,85.0,138.9
2014-01-06 00:00:00,987.47,1.31,-0.46,87.9,235.9
2014-01-06 01:00:00,986.86,0.87,-0.96,87.5,203.8
2014-01-06 02:00:00,986.55,1.72,-0.38,85.9,220.1
2014-01-06 03:00:00,986.29,1.02,-0.76,87.8,202.8
2014-01-06 04:00:00,986.3,1.46,-0.57,86.3,198.6
2014-01-06 05:00:00,986.07,1.68,-0.63,84.6,201.8
2014-01-06 06:00:00,985.57,2.56,-0.57,79.7,185.8
2014-01-06 07:00:00,985.52,4.98,-0.66,66.79,207.3
2014-01-06 08:00:00,985.68,4.73,-0.86,66.95,203.8
2014-01-06 09:00:00,985.95,4.81,-0.43,68.68,176.8
2014-01-06 10:00:00,985.3,5.04,-0.26,68.43,176.4
2014-01-06 11:00:00,985.48,6.97,-0.11,60.52,173.0
2014-01-06 12:00:00,985.42,7.46,0.64,61.82,180.2
2014-01-06 13:00:00,985.43,7.21,1.97,69.25,178.0
2014-01-06 14:00:00,985.27,7.3,2.64,72.2,172.4
2014-01-06 15:00:00,985.55,7.37,3.23,74.9,189.6
2014-01-06 16:00:00,985.78,7.7,4.07,77.7,174.2
2014-01-06 17:00:00,985.78,7.88,4.04,76.6,194.0
2014-01-06 18:00:00,985.12,8.16,4.42,77.2,166.9
2014-01-06 19:00:00,984.88,8.46,4.45,75.8,168.0
2014-01-06 20:00:00,984.55,8.99,4.92,75.6,179.1
2014-01-06 21:00:00,984.43,8.89,4.77,75.3,168.3
2014-01-06 22:00:00,984.21,9.13,5.12,75.9,177.5
2014-01-06 23:00:00,984.24,9.11,4.79,74.3,140.0
2014-01-07 00:00:00,984.83,8.59,4.71,76.5,207.5
2014-01-07 01:00:00,985.31,7.7,4.67,81.1,175.0
2014-01-07 02:00:00,986.3,7.24,4.56,83.0,175.3
2014-01-07 03:00:00,986.94,7.2,5.01,85.9,176.8
2014-01-07 04:00:00,986.66,6.98,5.0,87.2,177.1
2014-01-07 05:00:00,987.0,6.94,5.17,88.5,208.5
2014-01-07 06:00:00,987.35,8.16,4.98,80.3,200.7
2014-01-07 07:00:00,988.3,6.85,4.36,84.1,221.0
2014-01-07 08:00:00,989.43,6.95,4.17,82.4,193.2
2014-01-07 09:00:00,989.82,9.14,4.86,74.5,207.5
2014-01-07 10:00:00,990.22,10.03,4.54,68.62,212.0
2014-01-07 11:00:00,990.0,11.0,4.69,65.0,205.1
2014-01-07 12:00:00,989.8,12.02,5.17,62.83,204.4
2014-01-07 13:00:00,989.36,12.79,5.23,59.95,205.8
2014-01-07 14:00:00,989.36,13.28,4.78,56.28,212.2
2014-01-07 15:00:00,989.47,13.55,5.05,56.36,190.5
2014-01-07 16:00:00,989.45,12.23,5.49,63.35,201.2
2014-01-07 17:00:00,989.67,11.32,5.52,67.4,160.2
2014-01-07 18:00:00,990.26,10.42,5.42,71.1,193.5
2014-01-07 19:00:00,990.57,10.16,5.53,72.9,187.3
2014-01-07 20:00:00,990.32,10.59,5.63,71.3,189.1
2014-01-07 21:00:00,989.88,10.36,5.43,71.4,205.3
2014-01-07 22:00:00,989.78,10.76,5.39,69.37,207.6
2014-01-07 23:00:00,989.81,9.86,5.24,72.9,190.6
2014-01-08 00:00:00,989.68,10.01,5.7,74.5,182.9
2014-01-08 01:00:00,989.25,9.27,5.88,79.3,198.1
2014-01-08 02:00:00,990.04,9.4,6.51,82.1,208.6
2014-01-08 03:00:00,990.09,9.2,6.52,83.3,174.3
2014-01-08 04:00:00,989.76,8.47,6.37,86.6,185.7
2014-01-08 05:00:00,989.94,8.34,6.24,86.6,182.3
2014-01-08 06:00:00,989.71,8.18,6.32,88.0,203.7
2014-01-08 07:00:00,989.51,9.28,7.03,85.8,180.9
2014-01-08 08:00:00,989.91,10.95,7.4,78.7,205.3
2014-01-08 09:00:00,990.9,11.29,7.03,75.0,213.1
2014-01-08 10:00:00,991.41,12.1,5.93,65.9,220.2
2014-01-08 11:00:00,991.67,13.18,5.35,58.94,214.6
2014-01-08 12:00:00,991.97,12.43,4.48,58.26,237.3
2014-01-08 13:00:00,992.1,12.1,5.56,64.21,212.5
2014-01-08 14:00:00,992.12,13.16,4.64,56.15,222.2
2014-01-08 15:00:00,992.46,12.4,4.54,58.63,218.2
2014-01-08 16:00:00,992.41,10.98,4.4,63.76,254.0
2014-01-08 17:00:00,992.67,9.56,4.56,70.9,222.9
2014-01-08 18:00:00,992.95,9.21,4.4,71.8,215.4
2014-01-08 19:00:00,992.95,8.42,4.16,74.5,151.0
2014-01-08 20:00:00,993.59,7.42,4.06,79.2,252.9
2014-01-08 21:00:00,993.02,6.98,3.82,80.2,203.1
2014-01-08 22:00:00,992.8,5.65,3.59,86.6,169.3
2014-01-08 23:00:00,992.45,4.91,3.43,90.1,162.0
2014-01-09 00:00:00,991.82,4.18,3.08,92.5,206.3
2014-01-09 01:00:00,991.03,4.95,3.79,92.2,172.5
2014-01-09 02:00:00,990.55,3.01,2.34,95.4,86.9
2014-01-09 03:00:00,989.53,4.3,3.86,96.9,217.5
2014-01-09 04:00:00,988.68,5.03,4.33,95.2,177.0
2014-01-09 05:00:00,987.72,4.7,3.84,94.1,149.2
2014-01-09 06:00:00,986.74,5.78,5.17,95.9,178.1
2014-01-09 07:00:00,985.73,6.64,5.79,94.3,192.3
2014-01-09 08:00:00,984.69,8.82,6.63,86.1,186.8
2014-01-09 09:00:00,983.89,9.09,6.42,83.3,184.3
2014-01-09 10:00:00,983.37,10.16,6.34,77.1,140.6
2014-01-09 11:00:00,982.67,11.5,6.38,70.7,194.3
2014-01-09 12:00:00,981.51,12.76,6.22,64.35,208.6
2014-01-09 13:00:00,981.19,12.61,5.83,63.26,210.4
2014-01-09 14:00:00,980.77,12.48,5.8,63.69,203.9
2014-01-09 15:00:00,979.65,11.97,5.58,64.84,195.0
2014-01-09 16:00:00,979.47,11.93,5.5,64.66,209.3
2014-01-09 17:00:00,978.33,11.38,5.24,65.86,184.9
2014-01-09 18:00:00,978.24,12.11,5.62,64.43,216.4
2014-01-09 19:00:00,979.39,9.04,6.63,84.8,261.1
2014-01-09 20:00:00,978.8,8.51,4.94,78.2,191.6
2014-01-09 21:00:00,979.1,8.96,4.42,73.1,209.2
2014-01-09 22:00:00,979.75,9.06,4.22,71.6,232.2
2014-01-09 23:00:00,981.37,7.77,4.17,77.9,258.8
2014-01-10 00:00:00,981.87,7.27,2.56,71.9,254.8
2014-01-10 01:00:00,982.8,6.22,1.3,70.6,241.4
2014-01-10 02:00:00,984.03,5.71,0.82,70.7,232.8
2014-01-10 03:00:00,984.65,5.2,0.2,70.0,226.0
2014-01-10 04:00:00,985.37,5.14,0.31,70.9,233.8
2014-01-10 05:00:00,985.5,4.89,-0.26,69.18,222.6
2014-01-10 06:00:00,986.21,4.67,-0.18,70.7,236.6
2014-01-10 07:00:00,986.95,4.37,0.0,73.1,211.4
2014-01-10 08:00:00,987.82,4.97,0.13,70.8,219.4
2014-01-10 09:00:00,988.83,5.44,0.1,68.34,201.6
2014-01-10 10:00:00,989.46,5.98,0.19,66.29,219.6
2014-01-10 11:00:00,989.54,6.07,-0.13,64.33,232.7
2014-01-10 12:00:00,989.37,6.72,-0.24,60.99,242.5
2014-01-10 13:00:00,989.23,7.23,-0.22,58.98,243.2
2014-01-10 14:00:00,989.31,6.83,0.15,62.29,243.0
2014-01-10 15:00:00,989.82,6.68,-0.01,62.23,252.5
2014-01-10 16:00:00,990.15,6.11,0.67,68.0,196.5
2014-01-10 17:00:00,990.12,5.28,0.66,72.0,220.7
2014-01-10 18:00:00,990.25,5.19,0.48,71.5,205.3
2014-01-10 19:00:00,990.45,5.27,0.53,71.4,204.9
2014-01-10 20:00:00,990.85,4.47,0.46,75.1,0.92
2014-01-10 21:00:00,990.94,3.84,0.34,77.8,280.6
2014-01-10 22:00:00,991.28,3.63,0.21,78.2,226.1
2014-01-10 23:00:00,991.1,2.65,-0.1,82.0,217.4
2014-01-11 00:00:00,990.98,2.97,0.28,82.4,220.2
2014-01-11 01:00:00,990.81,2.65,0.26,84.2,143.1
2014-01-11 02:00:00,991.0,2.62,0.32,84.7,227.7
2014-01-11 03:00:00,990.84,2.26,0.1,85.6,175.5
2014-01-11 04:00:00,990.47,1.54,-0.25,87.8,190.9
2014-01-11 05:00:00,990.26,1.13,-0.38,89.6,210.0
2014-01-11 06:00:00,990.07,-0.3,-1.22,93.5,237.5
2014-01-11 07:00:00,989.87,-0.03,-0.89,93.9,205.5
2014-01-11 08:00:00,989.9,0.13,-0.86,93.0,224.5
2014-01-11 09:00:00,989.73,-0.01,-0.96,93.3,197.2
2014-01-11 10:00:00,989.75,1.57,-0.07,88.8,200.8
2014-01-11 11:00:00,989.44,2.72,0.59,85.8,206.4
2014-01-11 12:00:00,989.03,4.63,1.51,80.1,157.0
2014-01-11 13:00:00,988.15,5.86,1.44,73.2,167.6
2014-01-11 14:00:00,987.48,6.97,1.26,66.89,207.1
2014-01-11 15:00:00,987.15,6.83,1.63,69.33,208.7
2014-01-11 16:00:00,986.79,6.28,1.84,73.1,216.2
2014-01-11 17:00:00,986.54,5.46,1.12,73.5,218.2
2014-01-11 18:00:00,987.3,5.57,1.58,75.4,212.8
2014-01-11 19:00:00,988.25,4.78,2.66,86.1,232.2
2014-01-11 20:00:00,989.83,5.34,2.56,82.2,281.7
2014-01-11 21:00:00,991.52,4.32,1.88,84.1,273.8
2014-01-11 22:00:00,992.33,4.12,0.57,77.6,262.7
2014-01-11 23:00:00,993.17,3.42,-0.13,77.5,248.8
2014-01-12 00:00:00,993.68,3.36,-0.08,78.1,244.2
2014-01-12 01:00:00,994.26,3.51,-0.63,74.2,253.7
2014-01-12 02:00:00,994.64,3.27,-0.72,75.0,253.3
2014-01-12 03:00:00,995.51,3.03,-1.29,73.1,255.8
2014-01-12 04:00:00,995.99,2.62,-1.09,76.4,231.0
2014-01-12 05:00:00,996.38,2.83,-1.36,73.8,252.0
2014-01-12 06:00:00,996.47,2.7,-1.52,73.6,255.0
2014-01-12 07:00:00,996.84,2.34,-1.87,73.6,253.6
2014-01-12 08:00:00,997.13,2.24,-2.08,73.0,248.7
2014-01-12 09:00:00,997.63,3.11,-1.94,69.31,175.6
2014-01-12 10:00:00,997.9,3.77,-1.91,66.33,220.3
2014-01-12 11:00:00,997.57,4.88,-2.08,60.55,244.0
2014-01-12 12:00:00,997.11,4.82,-1.97,61.29,250.8
2014-01-12 13:00:00,996.5,5.12,-1.8,60.79,239.0
2014-01-12 14:00:00,995.95,5.37,-2.17,58.1,255.0
2014-01-12 15:00:00,995.53,5.48,-2.35,56.91,228.5
2014-01-12 16:00:00,995.12,3.8,-1.99,65.76,305.5
2014-01-12 17:00:00,994.95,2.72,-2.21,69.86,270.8
2014-01-12 18:00:00,994.75,0.86,-2.46,78.4,242.9
2014-01-12 19:00:00,994.79,-0.25,-2.91,82.1,193.8
2014-01-12 20:00:00,994.66,-0.84,-3.06,84.8,202.0
2014-01-12 21:00:00,993.99,-1.51,-3.41,86.8,154.1
2014-01-12 22:00:00,993.41,-1.98,-3.67,88.1,208.0
2014-01-12 23:00:00,992.56,-2.3,-3.85,89.0,205.8
2014-01-13 00:00:00,992.18,-2.68,-4.1,89.9,191.9
2014-01-13 01:00:00,991.28,-3.07,-4.24,91.6,202.7
2014-01-13 02:00:00,990.7,-2.84,-4.02,91.5,202.3
2014-01-13 03:00:00,989.56,-3.5,-4.74,91.0,217.1
2014-01-13 04:00:00,988.49,-2.47,-3.68,91.3,209.5
2014-01-13 05:00:00,987.99,-4.33,-5.49,91.5,189.7
2014-01-13 06:00:00,987.54,-3.97,-4.68,94.8,221.0
2014-01-13 07:00:00,987.09,-4.28,-5.17,93.5,194.2
2014-01-13 08:00:00,986.98,-2.86,-4.14,90.8,175.6
2014-01-13 09:00:00,987.45,-0.53,-2.57,86.0,173.2
2014-01-13 10:00:00,987.03,0.12,-1.63,88.0,190.0
2014-01-13 11:00:00,987.02,1.94,-0.21,85.6,196.3
2014-01-13 12:00:00,986.98,4.01,0.94,80.3,144.5
2014-01-13 13:00:00,986.31,4.93,1.46,78.2,161.4
2014-01-13 14:00:00,986.18,4.95,1.85,80.3,236.2
2014-01-13 15:00:00,985.76,5.51,2.33,79.9,199.8
2014-01-13 16:00:00,985.79,5.31,2.4,81.4,148.5
2014-01-13 17:00:00,985.8,4.3,2.01,85.0,183.8
2014-01-13 18:00:00,985.77,3.96,1.72,85.3,180.7
2014-01-13 19:00:00,985.92,3.89,1.61,85.0,198.0
2014-01-13 20:00:00,985.93,3.38,1.62,88.2,189.9
2014-01-13 21:00:00,985.67,2.73,1.86,94.0,173.7
2014-01-13 22:00:00,985.52,2.47,1.91,96.1,194.7
2014-01-13 23:00:00,985.18,2.51,2.06,96.8,212.4
2014-01-14 00:00:00,984.72,2.52,2.1,97.0,227.2
2014-01-14 01:00:00,984.01,2.53,2.1,97.0,216.5
2014-01-14 02:00:00,983.78,2.61,2.14,96.7,149.3
2014-01-14 03:00:00,983.45,2.45,2.0,96.8,201.7
2014-01-14 04:00:00,982.68,2.42,2.04,97.3,220.8
2014-01-14 05:00:00,982.4,2.65,2.28,97.4,118.6
2014-01-14 06:00:00,981.98,2.17,1.71,96.8,284.5
2014-01-14 07:00:00,981.72,1.88,1.54,97.6,341.9
2014-01-14 08:00:00,981.74,1.73,1.44,97.9,243.1
2014-01-14 09:00:00,981.52,2.31,2.01,97.9,347.7
2014-01-14 10:00:00,981.23,2.64,2.2,96.9,311.2
2014-01-14 11:00:00,980.82,2.63,2.18,96.8,35.67
2014-01-14 12:00:00,980.29,3.08,2.65,97.0,61.15
2014-01-14 13:00:00,980.06,2.82,2.4,97.1,17.54
2014-01-14 14:00:00,979.93,2.81,2.4,97.1,24.4
2014-01-14 15:00:00,980.12,2.8,2.37,97.0,11.65
2014-01-14 16:00:00,980.57,2.54,2.08,96.8,197.4
2014-01-14 17:00:00,980.78,2.14,1.84,97.9,205.8
2014-01-14 18:00:00,981.05,2.19,1.94,98.2,257.2
2014-01-14 19:00:00,981.5,2.13,1.85,98.0,237.4
2014-01-14 20:00:00,981.93,2.2,1.97,98.4,258.0
2014-01-14 21:00:00,982.12,2.39,2.18,98.5,257.0
2014-01-14 22:00:00,982.37,2.59,2.41,98.7,319.9
2014-01-14 23:00:00,982.5,2.71,2.49,98.5,159.9
2014-01-15 00:00:00,982.7,2.79,2.61,98.7,188.3
2014-01-15 01:00:00,982.89,2.86,2.59,98.1,240.5
2014-01-15 02:00:00,983.4,2.66,2.14,96.3,242.0
2014-01-15 03:00:00,983.63,2.5,1.84,95.4,246.1
2014-01-15 04:00:00,983.84,2.56,1.71,94.1,215.5
2014-01-15 05:00:00,983.98,2.19,1.42,94.6,234.1
2014-01-15 06:00:00,983.85,2.23,1.5,94.9,244.3
2014-01-15 07:00:00,984.09,2.25,1.58,95.3,205.7
2014-01-15 08:00:00,984.33,2.09,1.61,96.6,208.0
2014-01-15 09:00:00,984.7,2.46,1.89,96.0,164.7
2014-01-15 10:00:00,985.08,3.26,2.39,94.0,259.6
2014-01-15 11:00:00,984.89,4.21,2.47,88.4,149.0
2014-01-15 12:00:00,984.46,4.78,2.46,84.9,169.0
2014-01-15 13:00:00,984.0,5.01,1.89,80.2,207.1
2014-01-15 14:00:00,983.99,5.06,1.16,75.8,208.3
2014-01-15 15:00:00,984.35,4.44,0.88,77.6,217.3
2014-01-15 16:00:00,984.83,3.94,-0.2,74.3,224.1
2014-01-15 17:00:00,984.55,3.38,-1.2,71.8,201.8
2014-01-15 18:00:00,984.68,2.27,-1.38,76.7,235.0
2014-01-15 19:00:00,984.46,1.61,-1.27,81.1,206.2
2014-01-15 20:00:00,983.98,0.8,-1.25,86.1,204.5
2014-01-15 21:00:00,983.68,0.53,-1.25,87.8,202.9
2014-01-15 22:00:00,983.1,0.61,-1.12,88.1,202.4
2014-01-15 23:00:00,982.47,0.77,-1.09,87.3,204.0
2014-01-16 00:00:00,982.07,1.57,-0.65,85.1,193.1
2014-01-16 01:00:00,981.69,2.07,-0.16,85.1,199.0
2014-01-16 02:00:00,981.6,1.99,0.46,89.5,198.4
2014-01-16 03:00:00,981.15,1.99,0.82,91.9,194.1
2014-01-16 04:00:00,980.53,2.13,1.02,92.3,184.3
2014-01-16 05:00:00,980.02,2.42,1.3,92.3,174.3
2014-01-16 06:00:00,979.79,3.15,1.74,90.4,169.3
2014-01-16 07:00:00,979.92,3.28,2.05,91.6,160.0
2014-01-16 08:00:00,980.1,3.34,2.23,92.4,150.0
2014-01-16 09:00:00,979.92,3.51,2.51,93.1,163.4
2014-01-16 10:00:00,979.67,4.16,2.89,91.4,175.9
2014-01-16 11:00:00,979.49,4.8,3.02,88.2,172.1
2014-01-16 12:00:00,978.79,5.3,3.48,88.0,159.4
2014-01-16 13:00:00,978.11,5.99,3.78,85.7,170.3
2014-01-16 14:00:00,977.77,6.12,4.16,87.2,189.7
2014-01-16 15:00:00,977.31,5.99,4.47,89.9,172.3
2014-01-16 16:00:00,977.11,5.87,3.83,86.7,176.5
2014-01-16 17:00:00,976.3,5.33,3.32,86.8,172.0
2014-01-16 18:00:00,975.91,4.98,3.01,87.0,164.0
2014-01-16 19:00:00,975.73,4.52,2.65,87.6,193.9
2014-01-16 20:00:00,976.31,5.13,2.59,83.6,172.4
2014-01-16 21:00:00,976.73,4.76,2.55,85.5,208.7
2014-01-16 22:00:00,976.39,5.35,2.77,83.4,211.7
2014-01-16 23:00:00,976.37,5.97,3.34,83.2,249.1
2014-01-17 00:00:00,976.83,5.92,3.58,84.9,130.2
2014-01-17 01:00:00,976.94,5.83,3.54,85.2,203.0
2014-01-17 02:00:00,977.29,5.84,3.9,87.3,227.3
2014-01-17 03:00:00,977.3,5.38,3.85,89.8,185.7
2014-01-17 04:00:00,977.36,5.66,4.05,89.3,190.9
2014-01-17 05:00:00,977.24,6.86,4.1,82.5,210.0
2014-01-17 06:00:00,977.18,6.41,4.06,84.9,199.0
2014-01-17 07:00:00,977.29,6.06,3.93,86.2,186.5
2014-01-17 08:00:00,977.74,6.38,3.59,82.3,206.3
2014-01-17 09:00:00,978.01,6.52,3.64,81.8,208.1
2014-01-17 10:00:00,978.28,6.79,3.79,81.1,189.0
2014-01-17 11:00:00,978.24,7.05,3.79,79.7,175.7
2014-01-17 12:00:00,977.83,7.31,3.81,78.4,189.9
2014-01-17 13:00:00,977.46,7.52,3.87,77.6,177.2
2014-01-17 14:00:00,977.33,7.38,3.74,77.6,201.3
2014-01-17 15:00:00,977.59,8.55,3.86,72.3,144.7
2014-01-17 16:00:00,978.32,6.87,3.37,78.3,196.6
2014-01-17 17:00:00,978.44,6.16,3.05,80.4,217.0
2014-01-17 18:00:00,978.81,5.46,2.76,82.7,167.4
2014-01-17 19:00:00,979.04,4.54,2.51,86.6,193.9
2014-01-17 20:00:00,979.46,4.07,2.33,88.4,178.3
2014-01-17 21:00:00,979.81,3.1,1.85,91.5,174.8
2014-01-17 22:00:00,980.1,2.19,1.2,93.1,155.8
2014-01-17 23:00:00,980.32,2.23,1.44,94.5,224.4
2014-01-18 00:00:00,980.51,2.92,1.55,90.7,193.6
2014-01-18 01:00:00,980.54,2.47,1.24,91.5,203.5
2014-01-18 02:00:00,980.62,2.57,1.35,91.6,183.8
2014-01-18 03:00:00,980.77,2.07,1.01,92.7,173.6
2014-01-18 04:00:00,980.76,1.81,0.99,94.3,193.6
2014-01-18 05:00:00,980.53,1.88,1.09,94.5,179.3
2014-01-18 06:00:00,980.27,2.14,1.2,93.5,198.2
2014-01-18 07:00:00,980.12,1.89,1.02,93.9,184.0
2014-01-18 08:00:00,980.39,1.69,0.84,94.0,178.5
2014-01-18 09:00:00,980.53,2.72,1.43,91.2,159.9
